Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
4264;AV_Champs_Elysees;2022-12-05T12:00:00+01:00;1229.0;26.13445;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T09:00:00+01:00;1124.0;12.74722;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T08:00:00+01:00;877.0;9.07222;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T07:00:00+01:00;623.0;5.96834;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T22:00:00+01:00;750.0;14.86222;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T19:00:00+01:00;1120.0;36.24112;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T16:00:00+01:00;1173.0;27.49056;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T00:00:00+01:00;569.0;6.80722;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T14:00:00+01:00;1227.0;35.48944;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T11:00:00+01:00;1258.0;20.175;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T06:00:00+01:00;334.0;3.40056;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T03:00:00+01:00;249.0;2.895;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T01:00:00+01:00;602.0;7.84444;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-07T00:00:00+01:00;528.0;68.14334;Bloqué;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T23:00:00+01:00;340.0;84.05333;Bloqué;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T21:00:00+01:00;712.0;61.27722;Bloqué;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T19:00:00+01:00;1121.0;53.63722;Bloqué;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T17:00:00+01:00;1126.0;30.92556;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-06T15:00:00+01:00;1207.0;31.37;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T15:00:00+01:00;1190.0;34.34834;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T14:00:00+01:00;1109.0;32.91389;Saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T13:00:00+01:00;1189.0;29.61778;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T11:00:00+01:00;1129.0;18.95222;Pré-saturé;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T10:00:00+01:00;1208.0;14.54167;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
4264;AV_Champs_Elysees;2022-12-05T06:00:00+01:00;303.0;2.33389;Fluide;2294;Av_Champs_Elysees-Washington;2293;Av_Champs_Elysees-Berri;Invalide;2005-01-01;2019-06-01;48.871535879911605,2.3017227924560624;"{""coordinates"": [[2.300995147533877, 48.871777043532866], [2.3024504373782473, 48.871294716290336]], ""type"": ""LineString""}"
