Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2022-12-05T00:00:00+01:00;;2.04945;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T13:00:00+01:00;;7.64445;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T09:00:00+01:00;;6.8;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T07:00:00+01:00;;2.08889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T04:00:00+01:00;;0.34667;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-06T01:00:00+01:00;;1.35389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-05T15:00:00+01:00;;8.03056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-05T13:00:00+01:00;;7.27445;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-05T12:00:00+01:00;;4.665;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-05T10:00:00+01:00;;7.03667;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-12-05T09:00:00+01:00;;6.75889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
